Host,Dopant,Row,WF,Valence,EF,ed,ep,Mag,QD,Qc,DFT_E
WSe2,Ag,4d,4.373,17,-2.061796,-4.236743964,-1.864687608,0.982,0.133003,-0.40314,0.18593386
WSe2,Au,5d,4.163,11,-1.854027,-4.486333295,-2.111945241,0.563,-0.408451,-0.038235,-0.0788456
WSe2,Cd,4d,4.569,12,-2.283697,-7.977,-1.55,0,0.284842,-0.376493,0.45516753
WSe2,Co,3d,4.211,15,-1.939637,-1.899607308,-2.241389754,1.992,-0.083601,-0.323176,0.0811408
WSe2,Cr,3d,4.894,12,-2.614716,0.26,-1.556,0,0.476637,-0.294243,1.57924142
WSe2,Cu,3d,4.401,17,-2.127615,-2.902868273,-1.948617279,0.996,0.052307,-0.453964,-0.01267493
WSe2,Fe,3d,4.044,14,-1.769419,-1.364004212,-2.3705,1.701,-0.355195,-0.142758,0.6926033
WSe2,Hf,5d,4.96,10,-2.673016,1.579789411,-1.49953096,0.437,0.713144,-0.322891,0.87487138
WSe2,Hg,5d,4.421,12,-2.134135,-6.32757953,-1.596103226,0.468,0.020721,-0.172893,0.35782829
WSe2,Ir,5d,3.807,9,-1.514983,-3.049186757,-2.698601563,0.796,-0.148474,-0.124489,-0.00396472
WSe2,Mn,3d,4.071,15,-1.780786,-1.28303392,-2.405470968,1.049,-0.038291,-0.075753,1.05769177
WSe2,Mo,4d,4.885,14,-2.576794,0.222,-1.5935,0,0.666955,-0.235361,2.00734816
WSe2,Nb,4d,5.078,13,-2.756236,1.5715,-1.2695,0,1.16463,0.10952,0.92515276
WSe2,Ni,3d,4.256,16,-1.988683,-2.261537111,-2.110713883,1.605,-0.141891,-0.203862,-0.24699545
WSe2,Os,5d,4.113,14,-1.832613,-1.7235,-2.273,0,0.074314,-0.271687,1.08241287
WSe2,Pd,4d,4.14,16,-1.840119,-3.110035705,-2.231562717,0.654,0.032065,-0.117161,-0.25321906
WSe2,Pt,5d,4.572,16,-2.14198,-3.07,-1.123,0,-0.350355,-0.386219,0.20096095
WSe2,Rh,4d,3.983,15,-1.685731,-2.68210939,-2.440975747,0.647,0.06464,-0.123596,0.02581443
WSe2,Ru,4d,3.78,14,-1.477689,-2.304,-2.7045,0,0.404373,0.25265,0.67955428
WSe2,Sc,3d,4.881,11,-2.593071,2.950827957,-1.4195,0.291,0.934344,-0.1152,0.79678084
WSe2,Ta,5d,5.051,11,-2.769811,1.517,-1.376,0,0.960579,-0.233381,0.9713504
WSe2,Tc,4d,3.492,13,-1.187097,-1.893022661,-3.0435,0.005,-0.007447,-0.038611,1.01709625
WSe2,Ti,3d,4.965,12,-2.666025,1.821160247,-1.398501906,0.457,0.376174,-0.276574,0.81330605
WSe2,V,3d,5.044,13,-2.754879,0.912,-1.377,0,0.601355,-0.165001,0.84368266
WSe2,Y,4d,4.81,11,-2.513484,1.768642857,-1.537435687,0.739,1.224281,-0.488386,0.7922043
WSe2,Zn,3d,4.612,12,-2.333778,-6.21,-1.499,0,0.187621,-0.091082,0.19873043
WSe2,Zr,4d,4.998,12,-2.669817,1.708566627,-1.478505699,0.542,0.946522,-0.298093,0.82357266
